prompt_idx,layer,logit_diff,cos,proj_cos,mask_cos,mask_proj_cos,rank,proj_rank
0,22,241.94537353515625,-0.06422621756792068,-0.038622353225946426,-0.06398172676563263,-0.035271577537059784,0.985,0.9295
0,23,256.84625244140625,-0.0593436136841774,-0.03368248790502548,-0.06873354315757751,-0.04304511472582817,0.9725,0.9195
0,24,247.6107940673828,-0.057538967579603195,-0.04071023315191269,-0.05785069987177849,-0.027338769286870956,0.977,0.928
0,25,239.25457763671875,-0.051092252135276794,-0.03071126714348793,-0.054684750735759735,-0.019141964614391327,0.974,0.9115
0,26,242.7536163330078,-0.05623919516801834,-0.028297945857048035,-0.051944196224212646,-0.011700802482664585,0.9675,0.9075
0,27,246.9477996826172,-0.060891199856996536,-0.03749135881662369,-0.05117359012365341,-0.024462539702653885,0.9775,0.9255
0,28,257.97821044921875,-0.06034383177757263,-0.025241052731871605,-0.04865273833274841,-0.014514531940221786,0.9605,0.9025
0,29,228.9103546142578,-0.0665852278470993,-0.0312681645154953,-0.04093490540981293,-0.025206120684742928,0.9695,0.914
0,30,224.34886169433594,-0.06287180632352829,-0.01768200844526291,-0.05083808675408363,-0.0663871318101883,0.9635,0.8895
0,31,193.52586364746094,-0.07476843893527985,-0.019319768995046616,-0.09456056356430054,-0.09957175701856613,0.8215,0.8935
1,0,9.032914161682129,-0.016129665076732635,0.004788977559655905,0.0001703323796391487,0.01846790313720703,0.6715,0.7375
1,1,11.157758712768555,-0.02860224060714245,-0.005481202155351639,-0.02595594897866249,0.013277573511004448,0.9305,0.912
1,2,16.907983779907227,-0.039698079228401184,0.02336571365594864,-0.03150859475135803,0.044686369597911835,0.9925,0.641
1,3,22.05523109436035,-0.030097898095846176,0.025000670924782753,-0.033294081687927246,0.017491478472948074,0.962,0.638
1,4,31.37101936340332,-0.05797071009874344,-0.018297944217920303,-0.046672623604536057,-0.006123912986367941,0.99,0.9505
1,5,48.254295349121094,-0.06169839948415756,-0.012010231614112854,-0.04758089408278465,-0.008399706333875656,0.9935,0.914
1,6,61.6004524230957,-0.04278094694018364,-0.01835964061319828,-0.039499953389167786,-0.013582365587353706,0.999,0.9315
1,7,71.07186889648438,-0.04389527812600136,-0.020732350647449493,-0.04922986775636673,-0.015910321846604347,1.0,0.923
1,8,85.00597381591797,-0.049802638590335846,-0.005966559983789921,-0.04077666997909546,0.0028249770402908325,0.9925,0.865
1,9,119.94876861572266,-0.02397940307855606,0.0027516530826687813,-0.0264388807117939,0.01514491718262434,0.9925,0.838
1,10,146.27978515625,-0.03624069318175316,-0.00858750008046627,-0.029356999322772026,0.004003303125500679,0.9935,0.8845
1,11,145.7227783203125,-0.03103405423462391,-0.005679253488779068,0.009439422748982906,0.03794505447149277,0.996,0.8755
1,12,147.53756713867188,-0.04859653860330582,-0.029231248423457146,-0.02081930637359619,0.007195925805717707,0.9945,0.95
1,13,152.52236938476562,-0.02730725333094597,-0.009563710540533066,0.014631981961429119,0.032102931290864944,0.9935,0.8845
1,14,195.65679931640625,-0.03732685372233391,-0.032318733632564545,-0.001387808471918106,0.005347976461052895,0.991,0.95
1,15,203.6943359375,-0.03146091103553772,-0.04343446344137192,-0.004381529521197081,-0.014527197927236557,0.992,0.9695
1,16,181.35455322265625,-0.06975460797548294,-0.07128342241048813,-0.05388859659433365,-0.05165683850646019,0.984,0.9895
1,17,219.14617919921875,-0.07744573056697845,-0.08642616868019104,-0.07326332479715347,-0.06538549065589905,0.9885,0.99
1,18,170.03042602539062,-0.0782521441578865,-0.08774479478597641,-0.07267820090055466,-0.07635145634412766,0.9795,0.9965
1,19,195.67779541015625,-0.06425692141056061,-0.06000367924571037,-0.05378343537449837,-0.04235818237066269,0.9865,0.9795
1,20,197.34695434570312,-0.09218800067901611,-0.08315771073102951,-0.11523433774709702,-0.09506665170192719,0.981,0.987
1,21,216.2835693359375,-0.11576561629772186,-0.0983472615480423,-0.10856105387210846,-0.08622689545154572,0.9705,0.9905
1,22,214.38388061523438,-0.1152644231915474,-0.09431759268045425,-0.11156202852725983,-0.08653976768255234,0.96,0.9845
1,23,219.59051513671875,-0.10982049256563187,-0.08897975832223892,-0.10706824064254761,-0.08511299639940262,0.9495,0.9825
1,24,218.72982788085938,-0.10711045563220978,-0.09399121254682541,-0.10427188873291016,-0.07834421843290329,0.9595,0.9825
1,25,214.8831024169922,-0.10250520706176758,-0.08589985221624374,-0.10501967370510101,-0.07514087855815887,0.9505,0.981
1,26,218.71644592285156,-0.10535106062889099,-0.08177094161510468,-0.10382284969091415,-0.06989343464374542,0.9445,0.9785
1,27,211.88648986816406,-0.10281222313642502,-0.08302149921655655,-0.09932374209165573,-0.07697217166423798,0.9535,0.9805
1,28,217.837890625,-0.09798749536275864,-0.06832053512334824,-0.09309357404708862,-0.06505148112773895,0.9405,0.969
1,29,189.4434051513672,-0.10025685280561447,-0.07023561000823975,-0.08602379262447357,-0.07445316016674042,0.9495,0.9745
1,30,199.77053833007812,-0.09592097252607346,-0.05747586116194725,-0.08393800258636475,-0.09834273159503937,0.9315,0.957
1,31,182.68838500976562,-0.10329489409923553,-0.05121128633618355,-0.11835595965385437,-0.12198838591575623,0.871,0.954
2,0,18.478710174560547,-0.013251273892819881,0.007429026998579502,0.0024797036312520504,0.020624421536922455,0.633,0.659
2,1,36.905364990234375,-0.03654605150222778,-0.013277977705001831,-0.03836482763290405,0.0011184108443558216,0.922,0.956
2,2,47.67243194580078,-0.05815357342362404,0.007420415058732033,-0.05090056359767914,0.0282591599971056,0.99,0.806
2,3,36.126792907714844,-0.039414193481206894,0.019112268462777138,-0.04388703033328056,0.01022866927087307,0.966,0.706
2,4,58.13911437988281,-0.06014244630932808,-0.01987333409488201,-0.052880626171827316,-0.01193426363170147,0.9955,0.956
2,5,88.19776153564453,-0.059569694101810455,-0.013694291934370995,-0.05351688712835312,-0.01746118627488613,0.994,0.927
2,6,101.82149505615234,-0.04663319140672684,-0.024718526750802994,-0.04523744061589241,-0.022055434063076973,0.999,0.956
2,7,124.65632629394531,-0.05523158609867096,-0.03450768440961838,-0.06767039000988007,-0.0378844328224659,0.998,0.9715
2,8,141.44154357910156,-0.06817451119422913,-0.027358585968613625,-0.05792701616883278,-0.01681140810251236,0.9975,0.9425
2,9,210.583251953125,-0.04687758535146713,-0.022289497777819633,-0.0521254763007164,-0.013534054160118103,0.9965,0.9345
2,10,242.0327911376953,-0.057831060141325,-0.03218524903059006,-0.056952159851789474,-0.025200221687555313,0.998,0.957
2,11,233.57919311523438,-0.05293172970414162,-0.030045004561543465,-0.01729164645075798,0.009096822701394558,0.9985,0.955
2,12,234.18528747558594,-0.06367358565330505,-0.04603267461061478,-0.04409271851181984,-0.018157048150897026,0.9975,0.9835
2,13,253.97410583496094,-0.04177764058113098,-0.025990866124629974,-0.000998830422759056,0.0149051109328866,0.9955,0.944
2,14,264.49200439453125,-0.06171613559126854,-0.058647140860557556,-0.02733108401298523,-0.022281117737293243,0.9905,0.9875
2,15,250.1904754638672,-0.05551742762327194,-0.06855170428752899,-0.03149857744574547,-0.04257364198565483,0.994,0.99
2,16,228.3550262451172,-0.09637851268053055,-0.099949412047863,-0.086244598031044,-0.08572299778461456,0.9755,0.995
2,17,262.13482666015625,-0.10455410927534103,-0.11530935764312744,-0.09513381868600845,-0.08959367871284485,0.9755,0.9975
2,18,212.26451110839844,-0.10704739391803741,-0.11806245148181915,-0.0972854346036911,-0.1023792177438736,0.9695,0.998
2,19,226.8693389892578,-0.10448549687862396,-0.10377054661512375,-0.08672896772623062,-0.07835736870765686,0.977,0.9975
2,20,227.719970703125,-0.13588204979896545,-0.13127173483371735,-0.154420405626297,-0.13858957588672638,0.978,0.998
2,21,245.12808227539062,-0.15171921253204346,-0.13818839192390442,-0.14134296774864197,-0.12353598326444626,0.972,0.998
2,22,240.98915100097656,-0.1566970944404602,-0.13969780504703522,-0.1455616056919098,-0.12504519522190094,0.965,0.998
2,23,254.7754669189453,-0.1414942741394043,-0.12252363562583923,-0.1302211433649063,-0.11123158037662506,0.961,0.9945
2,24,249.9141387939453,-0.12805838882923126,-0.1173536628484726,-0.11212162673473358,-0.08744537830352783,0.9645,0.9905
2,25,239.62503051757812,-0.12551629543304443,-0.11045556515455246,-0.10960336029529572,-0.0797622874379158,0.9555,0.99
2,26,242.751220703125,-0.12873053550720215,-0.10623972862958908,-0.10878178477287292,-0.07494323700666428,0.953,0.989
2,27,238.81033325195312,-0.1265045553445816,-0.10870933532714844,-0.11172616481781006,-0.0909431204199791,0.964,0.992
2,28,254.54385375976562,-0.11946327239274979,-0.09073612093925476,-0.10737049579620361,-0.07967793196439743,0.9565,0.986
2,29,222.99856567382812,-0.12153004109859467,-0.09213361889123917,-0.101602703332901,-0.09110476821660995,0.959,0.9885
2,30,214.33615112304688,-0.12386130541563034,-0.08483994007110596,-0.11104919016361237,-0.12846946716308594,0.9465,0.982
2,31,193.72616577148438,-0.1338246464729309,-0.07793273031711578,-0.13070549070835114,-0.13583290576934814,0.915,0.98
3,0,18.821504592895508,-0.024893388152122498,-0.006291953846812248,-0.007544372696429491,0.00877408031374216,0.714,0.958
3,1,18.805818557739258,-0.012082352302968502,0.011024126783013344,-0.009911123663187027,0.02859877236187458,0.8985,0.7130000000000001
3,2,23.477548599243164,0.007064125034958124,0.07474399358034134,0.007667098194360733,0.08794295787811279,0.9655,0.04049999999999998
3,3,23.856101989746094,0.015190784819424152,0.07267486304044724,0.010448342189192772,0.06423752009868622,0.922,0.0685
3,4,47.39283752441406,-0.011198640801012516,0.03084007278084755,-0.007723107468336821,0.03527354821562767,0.9815,0.5885
3,5,63.454620361328125,0.00087701715528965,0.051097363233566284,0.0022093902807682753,0.042256347835063934,0.9835,0.4475
3,6,81.82029724121094,0.0032005622051656246,0.02829834446310997,-0.0022636866196990013,0.02377089112997055,0.997,0.65
3,7,79.2435531616211,0.0094336848706007,0.03366395831108093,0.00031048571690917015,0.03406791761517525,0.996,0.6285000000000001
3,8,89.54067993164062,0.015094281174242496,0.06068606674671173,0.030567506328225136,0.07404950261116028,0.9875,0.4625
3,9,112.10814666748047,0.022756975144147873,0.05056639015674591,0.01745588704943657,0.059350959956645966,0.9885,0.5535
3,10,117.32147979736328,0.023255398496985435,0.05321002006530762,0.030111147090792656,0.064122773706913,0.987,0.5700000000000001
3,11,127.68924713134766,0.016957445070147514,0.043900370597839355,0.0543811097741127,0.08344531059265137,0.9905,0.6094999999999999
